,OCCUPATIONID,PREFERREDLABEL,ALTLABELS,OCCUPATIONGROUPLABEL,OCCUPATIONGROUPID,SECTOR,SECTORID,SUBSECTOR,SUBSECTORID
150,687671c0ebd2bf665349dccd,chief marketing officer,"chief commercial strategist
head of marketing
director of marketing
chief marketing officer
senior marketing officer
chief commercial officer
chief commercial strategy officer
marketing officer
chief sales and marketing officer
market information officer
marketing executive
export marketing officer
marketing and business development officer
marketing and communication officer
marketing and training officer
marketing communications officer
marketing promotion officer
product marketing officer
production and marketing officer
sales and marketing officer
marketing and livelihood development officer
marketing and partnership mgâ€™t officer
marketing and tinder officer",Sales and marketing managers,687671b1ebd2bf665349a142,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
151,687671c0ebd2bf665349dcce,destination manager,"destination development manager
destination marketing manager
tourism strategy manager
destination manager
destination management organisation (dmo) manager
organisation manager
transportation manager
transport manager",,,Tourism and art,6881548d-8e03-4c1b-a115-72be99420045,Travel Agent and Related Services,56b0d15c-f095-45d9-822e-3b1758a8ab83
152,687671c0ebd2bf665349dccf,marketing manager,"sales and marketing manager
promotions manager
telemarketing manager
market development manager
marketing director
marketing and promotions manager
marketing manager
advertising sales manager
marketing executive
market manager
product marketing manager
aftermarket manager
marketing and branding manager
sales and marketing director
marketing coordinator
marketing and sales manager
social media marketing manager
marketing and sales director
produce marketing specialist
marketing intern
marketing and communications manager
influencer marketing coordinator
marketing and sales executive
marketing research manager
marketing operations manager
marketing supervisor
route to market manager
sales and marketing executive
seo manager
marketing team leader
accountant and marketing management
marketing and vice manager
marketing sector lead executive",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
153,687671c0ebd2bf665349dcd0,sales manager,"sales executive
sales coordinator
sales director
group sales manager
sales commercial manager
sales manager
international sales manage
area sales manager
inside sales manager
sales officer
sales supervisor
sales and customer service officer
computer sales executive
sales territory manager
counter sales officer
sales trainer
sales control officer
salesperson
software sales officer
sales and marketing supervisor
marketing and sales supervisor
head of sales
retail salesperson
sales and design manager
sales driver
sales and marketing coordinator
territory sales manager
sales staff",,,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Other unspecified food products retail,6632f83b-bb75-4420-9112-47bc7d58fed5
154,687671c0ebd2bf665349dcd1,category manager,"product category manager
fmcg category manager
indirect category manager
merchandising category specialist
pricing and marketing manager
category development manager
product category specialist
assistant category manager
on-line category manager
graduate category manager
vendor management manager
g.m. category manager
general merchandise category manager
category manager
planning and inventory control manager
senior category manager",,,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Wholesale business in specialized stores,58686252-4bc6-4994-be47-102cb270e9e5
155,687671c0ebd2bf665349dcd2,licensing manager,"trainee international licensing manager
senior licensing manager
assistant licensing manager
graduate international licensing manager
graduate brand licensing manager
trainee licensing manager
graduate licensing and brand manager
senior international licensing manager
assistant licensing and brand manager
senior brand licensing manager
licensing manager
trainee brand licensing manager
trainee licensing and brand manager
graduate licensing manager
assistant international licensing manager
assistant brand licensing manager
senior licensing and brand manager
licensing chief
healthcare licensing manager
spectrum licensing specialist
licensing categories
mining license operations administration
registration and licensing system
regulatory licensing",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
156,687671c0ebd2bf665349dcd3,motor vehicle aftersales manager,"truck aftersales manager
motor vehicles aftersales specialist
car aftersales specialist
truck aftersales specialist
car aftersales co-ordinator
van aftersales manager
van aftersales specialist
bus and coach aftersales co-ordinator
truck aftersales co-ordinator
van aftersales co-ordinator
motor vehicle aftersales manger
car aftersales manager
bus and coach aftersales
bus and coach aftersales specialist
motor vehicles aftersales manager
motor vehicle aftersales manager",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Motor vehicle repair work,12691649-6d6f-4e3c-9b4e-a221d0255305
157,687671c0ebd2bf665349dcd4,online sales channel manager,"online sales channel supervisor
social media sales manager
online sales channel manager
digital sales manager
e-commerce manager
mail-order and internet manager
mail order manager
trainee online sales channel manager
internet order manager
senior online sales channel manager
assistant online sales channel manager
graduate online sales channel manager
channel sales officer
channel sales representative
channel manager",,,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Other unspecified food products retail,6632f83b-bb75-4420-9112-47bc7d58fed5
158,687671c0ebd2bf665349dcd5,promotion manager,"sales promotion manager
promotion director
promotions coordinator
promotions director
promotion coordinator
promotion manager
promotions manager
advertising and promotion manager
marketing and promotion manager
promotion executive
product promotion officer
promotion officer
market promotion
marketing and promotion desk head
marketing and promotion head
online promotion
mining information and promotion officer",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
159,687671c0ebd2bf665349dcd6,commercial director,"cco
commercial marketing specialist
chief commercial officer
international commercial director
business development director
commercial manager
marketing director
corporate commercial manager
commercial director
commercial strategy director
commercial operations director
marketing and communications director
credit director",Sales and marketing managers,687671b1ebd2bf665349a142,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Other unspecified food products retail,6632f83b-bb75-4420-9112-47bc7d58fed5
160,687671c0ebd2bf665349dcd7,digital marketing manager,"digital marketing technician
digital marketing specialist
digital marketing and communication professional
social media specialist
web marketing specialist
digital marketing manager
digital marketing officer
digital marketing coordinator
digital marketing associate
digital marketing executive
digital marketing sales representative
digital marketing strategist
digital sales executive
digital business service
digital innovation hub/dih department manager
digital marketing and web content officer",Sales and marketing managers,687671b1ebd2bf665349a142,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
161,687671c0ebd2bf665349dcd8,tourism product manager,"tourism product developer
tourism distribution manager
tourism product manager
tourism promotion specialist
tourism development manager
international tourism promotion
tourism package development and brand preparation",Sales and marketing managers,687671b1ebd2bf665349a142,Tourism and art,6881548d-8e03-4c1b-a115-72be99420045,Travel Agent and Related Services,56b0d15c-f095-45d9-822e-3b1758a8ab83
162,687671c0ebd2bf665349dcd9,communication manager,"internal communications manager
social media manager
foreign language correspondent communications manager
communication practitioner
press spokesperson
communications associate
public relations manager
communication manager
communications manager
external communications manager
corporate communication manager
public relations and communication manager
online communication manager
advocacy and communication manager
behavior change communication officer
communications officer
communication officer
client communication specialist
communication advisor
communications advisor
design and communications officer
dialogue coordinator
extension communication specialist
marketing and communication manager
program communications advisor
communication and liaison manager
corporate communications specialist
information and communications technology
media and communication center
behavior change communication advisor
behavior change communication specialist
communications specialist (cooperatives/development)
digital communication",Advertising and public relations managers,687671b1ebd2bf665349a143,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
163,687671c0ebd2bf665349dcda,advertising manager,"advertising account planner
promotions manager
advertising manager
advertising coordinator
advertising executive
advertising and promotions manager
campaigns coordinator
promotions coordinator
advertising campaign manager
marketing communication manager
advertising director
advertising agency manager
branding and advertising officer",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
164,687671c0ebd2bf665349dcdb,public relations manager,"public relations specialist
communications manager
spokesperson
communications officer
public information manager
marketing and communications manager
public relations consultant
public affairs manager
publicity manager
media relations manager
press office manager
public information coordinator
corporate profiler
corporate affairs manager
public relations manager
public relations director
employee relations manager
external relations specialist
public relations and marketing executive
public relations and marketing manager
public relations strategist",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Advertising,a22d59cc-0093-414d-b3fd-debfe0fb2e59
165,687671c0ebd2bf665349dcdc,product manager,"manager, planning and development
product developer
product development manager
product manager
product marketing manager
research and development manager
sports product engineer
data center product manager
product curator
product editor
product innovation officer
product researcher
product inspection manager
product monitoring
product assessment specialist",Research and development managers,687671b1ebd2bf665349a144,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Business Promotion Service,c753ad4d-df1c-4833-9086-3d209d1e5031
166,687671c0ebd2bf665349dcdd,insurance product manager,"insurance sales manager
assurance relationship manager
assurance office manager
insurance product development executive
insurance product manager
assurance account manager
insurance lead
insurance office manager
assurance lead
assurance branch manager
insurance relationship manager
insurance account manager
insurance product developer
insurance product development manager
assurance sales manager",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Finance and Administration Services,cd9fb1ea-c921-4297-abfb-80f3df49c598
167,687671c0ebd2bf665349dcde,research and development manager,"research and development supervisor
research and development associate
market research manager
product research development manager
researcher
research and development manager
research and development director
learning and development specialist
training and development manager
development monitoring specialist
learning and development director
innovation manager
training and development specialist
research and development officer
learning and development manager
research development officer
research and development analyst
research and development specialist
technology development manager
research & development
research and content development officer
statistical study and research officer",Research and development managers,687671b1ebd2bf665349a144,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Industrial research and experimental development activities,e8bfc8ff-356f-4b84-a883-4efc4caf380a
168,687671c0ebd2bf665349dcdf,product development manager,"product development manager
research and development manager
product designer
product development specialist
innovation department manager
product development executive
product developer
product development officer
product development coordinator",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Industrial research and experimental development activities,e8bfc8ff-356f-4b84-a883-4efc4caf380a
169,687671c0ebd2bf665349dce0,clothing development manager,"clothing manager
sample room manager
clothing product manager
apparel product developer
clothing development manager
clothes product developer
garment production supervisor
garment production specialist",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Prepared clothes (hairdressing Excluding) manufacturing,64d83c9c-92a8-4b61-8b76-b9b2dccc270d
170,687671c0ebd2bf665349dce1,footwear product development manager,"footwear product manager
footwear production and development manager
footwear product development manager
product development team leader
footwear production & development manager
pre-production manager
footwear development team leader
senior product developer",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Shoe manufacturing,68e51b0f-f610-44e7-9537-a7174de1ff0f
171,687671c0ebd2bf665349dce2,games development manager,"gambling development director
gaming development manager
games development director
games project and product development director
gambling project and product development director
gaming project and product development director
gaming development director
gambling project and product development manager
games project and product development manager
gambling development manager
gaming project and product development manager
games development manager
devops manager
game zone manager
game demo video creator",,,ICT and digital work,e5c279c4-44d2-42a9-91f5-0329ed7536ce,Software Design Development and Implementation Works,6dc65832-d0cb-4f3d-a1b3-c047c3c81ce5
172,687671c0ebd2bf665349dce3,leather goods product development manager,"product development director leather goods
leatherware product development supervisor
leather goods product development director
leather goods product development supervisor
leather goods pre-production manager
leatherware product development manager
leather goods product manager
leather goods product development manager
leatherware product development director
leather goods product development coordinator
product development coordinator leather goods
product development manager leather goods",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacture of man-made leather goods,a30d4902-1764-47ad-adef-0f4d2846459f
173,687671c0ebd2bf665349dce4,research manager,"head of laboratory
research manager
research scientist
head laboratory analyst
scientific research director
principal research scientist
scientific director
chief science officer
clinical research coordinator
research coordinator
research and community service manager
research officer
natural sciences manager
research administrator
research fellow
research information specialist
research specialist
research affairs
research department specialist
research training preparation and administration
researchers consultants
research assessment specialist
research extension center officer
research publication team leader
standards and research officer",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Industrial research and experimental development activities,e8bfc8ff-356f-4b84-a883-4efc4caf380a
174,687671c0ebd2bf665349dce5,ICT research manager,"ict innovation manager
technology innovation manager
it research manager
ict research managers
ict research manager
it innovation manager
ict manager
technology manager
technology management",,,ICT and digital work,e5c279c4-44d2-42a9-91f5-0329ed7536ce,General research and experimental development work,dafda807-105a-4cac-82cb-2bbc4b9829b8
175,687671c0ebd2bf665349dce6,forester,"conservator, forest
forest manager
forester
forestry manager
woodland manager
natural forest",Agricultural and forestry production managers,687671b1ebd2bf665349a147,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Forest development and related services,5c4bfc97-9601-479a-9607-53dd925e1b20
176,687671c0ebd2bf665349dce7,aquaculture harvesting manager,"aquaculture harvesting supervisor
fish farm harvesting manager
harvesting operations manager
aquaculture harvesting manager
manager of aquaculture harvesting",Aquaculture and fisheries production managers,687671b1ebd2bf665349a148,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
177,687671c0ebd2bf665349dce8,aquaculture husbandry manager,"aquaculture on-growing manager
aquaculture husbandry manager
fish farm on-growing manager
aquatic animals husbandry manager
fish farm on-growing supervisor
aquaculture on-growing supervisor",Aquaculture and fisheries production managers,687671b1ebd2bf665349a148,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
178,687671c0ebd2bf665349dce9,aquaculture production manager,"manager, fishing operations
aquaculture production manager
fish farm production manager
fishery production manager
manager of aquaculture production",Aquaculture and fisheries production managers,687671b1ebd2bf665349a148,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
179,687671c0ebd2bf665349dcea,green coffee coordinator,"coffee coordinator
green coffee coordinator
green coffee manager
green coffee co-ordinator
green coffee supervisor
coffee development specialist
coffee specialist",Manufacturing managers,687671b1ebd2bf665349a14a,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Coffee cultivation,68ea2454-654c-41f8-a99b-31a3d10e2312
180,687671c0ebd2bf665349dceb,manufacturing manager,"manager, paper and plastics
industrial production supervisor
manufacturing director
manufacturing manager
manufacturing plant manager
manufacturing production manager
aluminum fabrication manager
factory manager
manufacturing extension specialist
manufacturing industry expansion specialist
manufacturing industry input specialist
head of manufacturing industry input
plastic production division manager
manufacturing technology officer",Manufacturing managers,687671b1ebd2bf665349a14a,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Another unmentioned factory works,
181,687671c0ebd2bf665349dcec,industrial production manager,"area production manager
production manufacturing supervisor
production manufacturing manager
production control manager
production line manager
production control supervisor
industrial production supervisor
industrial production manager
industrial production and manufacturing manager
production manager
design and production manager
production and human resources manager
industrial cluster specialist
industrial machinery manager
studio production manager
production system management:",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Another unmentioned factory works,
182,687671c0ebd2bf665349dced,chemical production manager,"manager, agro-chemical products
chemical manufacturing director
chemical manufacturing manager
chemical operations manager
chemical process engineer
chemical process manager
chemical production coordinator
chemical production director
chemical production engineer
chemical production manager
chemical production planner
chemical production quality supervisor
operations manager chemical production
production manager of chemicals
biofuels production manager
chemical equipment operator
chemical and petrochemical industries",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacture of pesticides and other agricultural chemicals,4148dfca-c832-426c-b263-df7910183eab
183,687671c0ebd2bf665349dcee,clothing operations manager,"clothing operations manager
clothing operations director
clothing operations area manager
clothing production manager
garment production manager
garment industry management",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Prepared clothes (hairdressing Excluding) manufacturing,64d83c9c-92a8-4b61-8b76-b9b2dccc270d
184,687671c0ebd2bf665349dcef,food production manager,"food production manager
food production team leader
food production supervisor
production manager food and beverages
dietary manager
food security and livelihood manager
food security and livelihoods manager
fast food supervisor
food batchmaker
food processing plant manager
food service manager
health and nutrition manager
food resource manager
food response manager
food and beverage service/ control/ operation or food production supervisor related studies
catering specialist",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Bread, cake, Biscuit and Injera baking",
185,687671c0ebd2bf665349dcf0,footwear production manager,"footwear and sportswear production manager
footwear production manager
production planning manager
fashion production manager
head of footwear production",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Shoe manufacturing,68e51b0f-f610-44e7-9537-a7174de1ff0f
186,687671c0ebd2bf665349dcf1,leather finishing operations manager,"plating manager
drying supervisor
finishing manager
moistening
buffing manager
finishing department supervisor
drying manager
finishing area supervisor
pressing
leather finishing operations manager
staking
spraying manager",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Smoothing and finishing skin products,bf9501e7-d371-4042-8ae8-5b55344e6fc6
187,687671c0ebd2bf665349dcf2,leather production manager,"leather operations director
leather manufacturing director
leather production manager
leather production director
leather logistics manager
leather production managers",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Smoothing and finishing skin products,bf9501e7-d371-4042-8ae8-5b55344e6fc6
188,687671c0ebd2bf665349dcf3,leather goods production manager,"head of leather goods production
leather research and development manager
leather goods production manager
fashion production manager
leather goods production supervisor
production planning manager",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacture of man-made leather goods,a30d4902-1764-47ad-adef-0f4d2846459f
189,687671c0ebd2bf665349dcf4,leather wet processing department manager,"leather wet processing manager
beamhouse department manager
leather wet processing department supervisor
leather wet processing department manager
tanyard area supervisor",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Smoothing and finishing skin products,bf9501e7-d371-4042-8ae8-5b55344e6fc6
190,687671c0ebd2bf665349dcf5,metallurgical manager,"metallurgy specialist
metallurgy manager
chief metallurgist
metallurgical manager
plant metallurgist
head metallurgist",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Manufacture of metal products, tanks, reservoirs used for structure",6b74d377-da6e-4da0-a7aa-7fb56d0c2c69
191,687671c0ebd2bf665349dcf6,metal production manager,"manager, steel rolling
development engineer
facility manager
metal development engineers
metal development experts
metal development managers
metal engineer
metal planning engineer
metal production manager
operations manager
plant manager
site manager
metalworking industry",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Manufacture of metal products, tanks, reservoirs used for structure",6b74d377-da6e-4da0-a7aa-7fb56d0c2c69
192,687671c0ebd2bf665349dcf7,industrial quality manager,"manager, productivity and quality control managers
engineering and quality control manager
industrial quality assessment manager
industrial quality control manager
industrial quality control technologist
industrial quality control testing supervisor
industrial quality manager
industrial quality supervisor
quality control industrial engineer
quality control manager
quality control analyst
quality assurance manager
quality management officer
quality control officer",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Another unmentioned factory works,
193,687671c0ebd2bf665349dcf8,footwear quality manager,"footwear quality executive
footwear quality assurance manager
footwear quality control manager
footwear quality coordinator
footwear quality manager",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Shoe manufacturing,68e51b0f-f610-44e7-9537-a7174de1ff0f
194,687671c0ebd2bf665349dcf9,leather goods quality manager,"leather goods quality control manager
leatherware quality manager
leather goods quality supervisor
quality assurance/quality control manager
leather goods quality director
leather goods quality manager
leather goods quality managing director
quality managing director
leatherware quality director
leatherware quality supervisor
quality control manager
quality supervisor
leather and leather product quality improvement",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacture of man-made leather goods,a30d4902-1764-47ad-adef-0f4d2846459f
195,687671c0ebd2bf665349dcfa,textile quality manager,"textile quality supervisor
textile quality manager
textile quality control manager",,,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,different textile materials made (excluding clothing) Manufacturing,8d3d290d-f3cd-4d1a-8aea-0259c2deb06a
196,687671c0ebd2bf665349dcfb,operations manager,"operations general manager
operations supervisor
operations administrator
business operations manager
operations manager
division operations manager
operations director
operations coordinator
business operations specialist
chief operations manager
operations team leader
digital operations specialist
operations specialist
operations associate
program operations director
share operations officer
operations support specialist
management systems
planning, monitoring, evaluation and operation assistance manager
payments operations manager
operations base manager
payment operations manager
terminal operations coordinator
strategic operations supervisor
transaction operations manager
business operations",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
197,687671c0ebd2bf665349dcfc,sewerage systems manager,"wastewater infrastructure manager
wastewater distribution systems and equipment manager
sewerage control engineer
lead engineer in wastewater infrastructure
sewerage system construction manager
wastewater manager
wastewater infrastructure design lead
water and sewer manager
wastewater network manager
sewerage systems manager
wastewater systems manager
head engineer in wastewater systems
sewerage network manager
water and sewer engineer
sewerage manager
wastewater treatment works manager
sanitation manager",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Sewage and waste disposal; Health care and similar jobs,578ecd0a-4568-4e84-8980-b929865c017a
198,687671c0ebd2bf665349dcfd,waste management officer,"waste management coordination officer
waste management safety officer
recycling officer
waste disposal officer
waste management development officer
waste disposal operative
waste management compliance officer
waste management officer
waste recycling officer
waste diversion manager
waste manager
asset disposal officer
sanitation officer
waste management specialist
radioactive waste manager
rural sanitation officer
sanitation and greenery officer
sanitation infrastructure officer",,,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Sewage and waste disposal; Health care and similar jobs,578ecd0a-4568-4e84-8980-b929865c017a
199,687671c0ebd2bf665349dcfe,textile operations manager,"textile production operations manager
textile operations manager
textile operations supervisor
textile operation supervisor
textile operations coordinator
textile production manager
cotton production management",Manufacturing managers,687671b1ebd2bf665349a14a,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,different textile materials made (excluding clothing) Manufacturing,8d3d290d-f3cd-4d1a-8aea-0259c2deb06a
200,687671c0ebd2bf665349dcff,mine manager,"manager, mining and drilling
facility manager
mine engineer
mine manager
mine operations manager
mine supervisor
mining engineer
mining operations manager
operations manager
plant manager
quarry manager
resident manager
site manager
mining manager",Mining managers,687671b1ebd2bf665349a14b,Mining and Quarrying,6473c06c-d7f4-4378-acc0-232f009ebd3f,Mining works,48131bd9-0d7d-4c62-86f1-68df604de1b9
201,687671c0ebd2bf665349dd00,mine production manager,"quarry production manager
mine production manager
coordinator of mine production
mining engineer
quarry production engineer
mine supervisor
mining operations manager
resident manager
mine operations manager
mine production engineer",,,Mining and Quarrying,6473c06c-d7f4-4378-acc0-232f009ebd3f,Mining works,48131bd9-0d7d-4c62-86f1-68df604de1b9
202,687671c0ebd2bf665349dd01,oil and gas production manager,"gas field production manager
oil and gas production scheduler
oil operations manager
oil and gas production project manager
gas production scheduler
gas operations manager
oilfield production manager
oil and gas production manager
oil field production manager
oil production project manager
oil production scheduler
gas production manager
gasfield production manager
oil production manager
oil and gas operations manager
gas production project manager
oil and gas project manager
oil machinery supervisor
oil and gas industry",,,Mining and Quarrying,6473c06c-d7f4-4378-acc0-232f009ebd3f,Crude oil and natural gas extraction; Oil and gas related to extraction Service,08baff82-08a1-4481-81fa-5f5a3e7b6b65
203,687671c0ebd2bf665349dd02,quarry manager,"quarrying engineer
quarry operations manager
quarry manager
quarry engineer
quarrying industry manager
quarry operations engineer
quarry managers
quarry management expert",Mining managers,687671b1ebd2bf665349a14b,Mining and Quarrying,6473c06c-d7f4-4378-acc0-232f009ebd3f,Stone cloak: Clay and sand Mining and quarrying,eb71df00-0544-46fd-8b72-ba46fcf48e69
204,687671c0ebd2bf665349dd03,construction manager,"construction cost consultant
construction manager
construction project manager
development project cost consultant
construction project cost consultant
development project cost manager
capacity building specialist
construction coordinator
construction foreman
building manager
capacity building officer
construction director
construction design manager
construction contract manager
engineering and construction manager
structural superintendent
studio construction specialist
construction and infrastructure project manager
construction expansion manager",Construction managers,687671b1ebd2bf665349a14c,Construction,bab7a59e-df88-44cc-b3b7-a7f17645593b,Building Construction Contractor,e0963c15-f88d-4889-b142-465fed61b858
205,687671c0ebd2bf665349dd04,construction general contractor,"contractor, labour
construction contactor
construction general contractor
construction project manager
construction site contractor
general contractor in construction
building contractor
construction contract administrator",,,Construction,bab7a59e-df88-44cc-b3b7-a7f17645593b,General Contractor (Except for the from Water works contractor,b00b3974-e44b-4027-a6e9-3592f4d2e49c
206,687671c0ebd2bf665349dd05,property developer,"speculative property developer
house developer
housing developer
domestic property developer
property developers
commercial developer
office property developer
speculative developer
developer of real estate
speculative builder
office developer
property developer
land developer
commercial property developer
real estate developer
property & distributor expert
purchasing and property",,,Construction,bab7a59e-df88-44cc-b3b7-a7f17645593b,Building Construction Contractor,e0963c15-f88d-4889-b142-465fed61b858
207,687671c0ebd2bf665349dd06,airport director,"airport duty manager
baggage programme director
airport manager
airport director
terminal operations manager
airport security compliance manager
station manager
airport section director
airport environmental operations manager
finance director
airside and expansions operations director
director of tax
customer relations and service director
aerodrome section director
aerodrome section manager
airport security manager
air transport director
airport agent","Supply, distribution and related managers",687671b1ebd2bf665349a14d,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Other supportive transportation services,19cca0c7-7b1a-49cc-9a81-3170119cc728
208,687671c0ebd2bf665349dd07,air traffic manager,"manager, air transport
air navigation manager
air traffic control manager
air traffic manager
air traffic operations manager
air traffic operations supervisor
air traffic senior manager
air traffic supervisor
centre director for air traffic systems and operations
flight control manager
flight navigation manager
aviation services manager
aircrew program manager
air traffic licensing specialist
air traffic director
air transport manager
air transport specialist
air service agreements manager
air crew supervisor
air traffic safety manager
unmanned traffic manager
air service development manager","Supply, distribution and related managers",687671b1ebd2bf665349a14d,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Other supportive transportation services,19cca0c7-7b1a-49cc-9a81-3170119cc728
209,687671c0ebd2bf665349dd08,logistics and distribution manager,"logistics and distribution manager
logistics and distribution director
logistics director
logistics coordinator
distribution & logistics manager
logistics & distribution manager
director of logistics and distribution
manager of logistics and distribution
distribution logistics manager
distribution coordinator
distribution and logistics manager
logistics supply chain coordinator
supply chain logistics manager
logistics manager
logistics operations manager
commodity logistics manager
delivery manager
purchasing and logistics manager
logistics and resource management
logistics information management
logistics operations
logistics & equipment management
logistics management
vehicle distribution officer","Supply, distribution and related managers",687671b1ebd2bf665349a14d,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Other supportive transportation services,19cca0c7-7b1a-49cc-9a81-3170119cc728
210,687671c0ebd2bf665349dd09,distribution manager,"senior distribution manager
graduate distribution planner
distribution manager
trainee logistics manager
graduate distribution manager
assistant supply chain manager
assistant distribution manager
graduate supply chain manager
trainee supply chain manager
assistant distribution planner
assistant traffic office manager
trainee distribution manager
senior distribution planner
trainee traffic office manager
trainee distribution planner
assistant logistics manager
graduate traffic office manager
senior traffic office manager
senior logistics manager
graduate logistics manager
senior supply chain manager
distribution coordinator
seed distribution specialist
distribution supervisor
distribution officer
printing and distribution manager
information distribution manager
publication production and distribution officer
seed distribution officer",,,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Wholesale business in specialized stores,58686252-4bc6-4994-be47-102cb270e9e5
211,687671c0ebd2bf665349dd0a,inland water transport general manager,"inland water transport general manager
manager of inland water transport
waterway transportation general manager
inland water transport director
inland waterway transport manager
inland water transportation director
inland water transportation general manager
inland waterways transport",,,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
212,687671c0ebd2bf665349dd0b,maritime water transport general manager,"manager, ferry services
general manager of maritime water transport
general manager of maritime water transportation
marine transport general manager
marine transportation general manager
maritime transport manager
maritime transport managing director
maritime transportation managing director
maritime water transport general manager
maritime water transport managing director
maritime water transportation general manager
maritime water transportation managing director
sea transport general manager
sea transport managing director
sea transportation general manager
sea transportation managing director
sea transport",,,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
213,687671c0ebd2bf665349dd0c,rail operations manager,"railway operations specialist
railway operations manager
train operations manager
rail operations manager
train operations specialist
rail control operator",,,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Other scheduled land transport services,a1f40d30-8b1b-4f58-9ff3-f3b8c8020ba0
