,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
2672,687671b5ebd2bf665349b0a1,operate bottom supported cable-propelled vehicles,operating lifting or moving equipment,687671b3ebd2bf665349a595
2673,687671b5ebd2bf665349b0a2,organise a repertoire,"developing financial, business or marketing plans",687671b3ebd2bf665349a4ed
2674,687671b5ebd2bf665349b0a3,radiology,medical diagnostic and treatment technology,687671b3ebd2bf665349a45f
2675,687671b5ebd2bf665349b0a4,create casting breakdown notices,technical or academic writing,687671b3ebd2bf665349a53d
2676,687671b5ebd2bf665349b0a5,deal with challenging work conditions,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
2677,687671b5ebd2bf665349b0a6,types of wine,food processing,687671b3ebd2bf665349a438
2678,687671b5ebd2bf665349b0a7,starchy plant foods,food processing,687671b3ebd2bf665349a438
2679,687671b5ebd2bf665349b0a8,analyse legal evidence,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
2680,687671b5ebd2bf665349b0a9,oversee vineyard floor activities,cultivating land and crops,687671b3ebd2bf665349a5ad
2681,687671b5ebd2bf665349b0aa,sustainable installation materials,building and civil engineering,687671b3ebd2bf665349a440
2682,687671b5ebd2bf665349b0ab,interact verbally in Finnish,,
2683,687671b5ebd2bf665349b0ac,mechanical almond processing,food processing,687671b3ebd2bf665349a438
2684,687671b5ebd2bf665349b0ad,do historical research,conducting academic or market research,687671b3ebd2bf665349a557
2685,687671b5ebd2bf665349b0ae,develop performance orientation in public administration,"directing, supervising and coordinating projects",687671b3ebd2bf665349a4bb
2686,687671b5ebd2bf665349b0af,design a solar heating system,designing electrical or electronic systems or equipment,687671b3ebd2bf665349a4f4
2687,687671b5ebd2bf665349b0b0,upsell products,selling products or services,687671b3ebd2bf665349a5fc
2688,687671b5ebd2bf665349b0b1,metal joining technologies,mechanics and metal trades,687671b3ebd2bf665349a433
2689,687671b5ebd2bf665349b0b2,natural fertilisers,crop and livestock production,687671b3ebd2bf665349a44a
2690,687671b5ebd2bf665349b0b3,honey varieties,food processing,687671b3ebd2bf665349a438
2691,687671b5ebd2bf665349b0b4,discharge of collected waste,environmental protection technology,687671b3ebd2bf665349a430
2692,687671b5ebd2bf665349b0b5,clear pipelines,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
2693,687671b5ebd2bf665349b0b6,pick orders of agricultural products,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
2694,687671b5ebd2bf665349b0b7,set up specifications in curing room,developing operational policies and procedures,687671b3ebd2bf665349a5c6
2695,687671b5ebd2bf665349b0b8,evacuate people from flooded areas,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
2696,687671b5ebd2bf665349b0b9,report on overall management of a business,technical or academic writing,687671b3ebd2bf665349a53d
2697,687671b5ebd2bf665349b0ba,advise on electrical household appliances' installation,advising on products and services,687671b3ebd2bf665349a530
2698,687671b5ebd2bf665349b0bb,conduct video telemetry,diagnosing health conditions,687671b3ebd2bf665349a5ed
2699,687671b5ebd2bf665349b0bc,political science,political sciences and civics,687671b2ebd2bf665349a3e6
2700,687671b5ebd2bf665349b0bd,lead healthcare services changes,leading and motivating,687671b3ebd2bf665349a5ae
2701,687671b5ebd2bf665349b0be,perform patient activity analyses,analysing scientific and medical data,687671b3ebd2bf665349a5b9
2702,687671b5ebd2bf665349b0bf,handle paperwork,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
2703,687671b5ebd2bf665349b0c0,orthopaedic goods industry,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
2704,687671b5ebd2bf665349b0c1,protect surfaces during construction work,applying protective or decorative solutions or coatings,687671b3ebd2bf665349a52a
2705,687671b5ebd2bf665349b0c2,dyeing technology,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
2706,687671b5ebd2bf665349b0c3,advise on food preservation,advising on products and services,687671b3ebd2bf665349a530
2707,687671b5ebd2bf665349b0c4,perform first fire intervention,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
2708,687671b5ebd2bf665349b0c5,apply problem solving in social service,developing solutions,687671b3ebd2bf665349a5a1
2709,687671b5ebd2bf665349b0c6,operate two-way radio systems,operating communications equipment,687671b3ebd2bf665349a4a0
2710,687671b5ebd2bf665349b0c7,aquaponics,crop and livestock production,687671b3ebd2bf665349a44a
2711,687671b5ebd2bf665349b0c8,manage game management plans,allocating and controlling resources,687671b3ebd2bf665349a583
2712,687671b5ebd2bf665349b0c9,create relationships with sport competitors,developing professional relationships or networks,687671b3ebd2bf665349a571
2713,687671b5ebd2bf665349b0ca,check quality of fruits and vegetables,,
2714,687671b5ebd2bf665349b0cb,diagnose gynaecological disorders,diagnosing health conditions,687671b3ebd2bf665349a5ed
2715,687671b5ebd2bf665349b0cc,manage a small-to-medium business,management skills,687671b3ebd2bf665349a4c1
2716,687671b5ebd2bf665349b0cd,modern languages,language acquisition,687671b2ebd2bf665349a3d9
2717,687671b5ebd2bf665349b0ce,improve safety of medicines,developing health programmes,687671b3ebd2bf665349a5f4
2718,687671b5ebd2bf665349b0cf,describe electric drive system,providing information to the public and clients,687671b3ebd2bf665349a5e6
2719,687671b5ebd2bf665349b0d0,trade sector policies,wholesale and retail sales,687671b2ebd2bf665349a3fd
2720,687671b5ebd2bf665349b0d1,conduct cleaning in place,cleaning interior and exterior of buildings,687671b3ebd2bf665349a5e8
2721,687671b5ebd2bf665349b0d2,bring out performers’ artistic potential,leading and motivating,687671b3ebd2bf665349a5ae
2722,687671b5ebd2bf665349b0d3,coordinate timber sales,selling products or services,687671b3ebd2bf665349a5fc
2723,687671b5ebd2bf665349b0d4,operate masonry power saw,cutting materials and drilling holes,687671b3ebd2bf665349a543
2724,687671b5ebd2bf665349b0d5,create concept of digital game,creating artistic designs or performances,687671b3ebd2bf665349a59f
2725,687671b5ebd2bf665349b0d6,enter receipt of coffee inventory,executing financial transactions,687671b3ebd2bf665349a5c5
2726,687671b5ebd2bf665349b0d7,select scripts,creating artistic designs or performances,687671b3ebd2bf665349a59f
2727,687671b5ebd2bf665349b0d8,tend bottle cork machine,operating packaging machinery,687671b3ebd2bf665349a558
2728,687671b5ebd2bf665349b0d9,recommend orthotic devices,providing medical advice,687671b3ebd2bf665349a5d0
2729,687671b5ebd2bf665349b0da,physiology of hearing,medicine,687671b3ebd2bf665349a45d
2730,687671b5ebd2bf665349b0db,install stationary sprinkler system,installing plumbing or piping equipment or systems,687671b3ebd2bf665349a51e
2731,687671b5ebd2bf665349b0dc,support audio system installation,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
2732,687671b5ebd2bf665349b0dd,draft procurement technical specifications,technical or academic writing,687671b3ebd2bf665349a53d
2733,687671b5ebd2bf665349b0de,textile industry machinery products,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
2734,687671b5ebd2bf665349b0df,turn ball skins right side out,preparing industrial materials for processing or use,687671b3ebd2bf665349a55b
2735,687671b5ebd2bf665349b0e0,develop specifications of technical textiles,"documenting technical designs, procedures, problems or activities",687671b3ebd2bf665349a584
2736,687671b5ebd2bf665349b0e1,operate concrete pumps,operating pumping systems or equipment,687671b3ebd2bf665349a54e
2737,687671b5ebd2bf665349b0e2,diagnose brain death,diagnosing health conditions,687671b3ebd2bf665349a5ed
2738,687671b5ebd2bf665349b0e3,prepare bills of lading,"preparing documentation for contracts, applications, or permits",687671b3ebd2bf665349a4bf
2739,687671b5ebd2bf665349b0e4,read maps,interpreting technical documentation and diagrams,687671b3ebd2bf665349a4df
2740,687671b5ebd2bf665349b0e5,curdling of cheese,food processing,687671b3ebd2bf665349a438
2741,687671b5ebd2bf665349b0e6,launching of satellites into orbit,physics,687671b2ebd2bf665349a417
2742,687671b5ebd2bf665349b0e7,analyse information processes,analysing business operations,687671b3ebd2bf665349a612
2743,687671b5ebd2bf665349b0e8,treatment of strabismus,medicine,687671b3ebd2bf665349a45d
2744,687671b5ebd2bf665349b0e9,manage gaming facilities,allocating and controlling physical resources,687671b3ebd2bf665349a623
2745,687671b5ebd2bf665349b0ea,select semen for artificial insemination of animals,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
2746,687671b5ebd2bf665349b0eb,design training programmes for individuals and animals,developing educational programmes,687671b3ebd2bf665349a555
2747,687671b5ebd2bf665349b0ec,coordinate the administration of a sports organisation,building and developing teams,687671b3ebd2bf665349a5fa
2748,687671b5ebd2bf665349b0ed,manage credit union operations,directing operational activities,687671b3ebd2bf665349a56b
2749,687671b5ebd2bf665349b0ee,assessment processes,education science,687671b2ebd2bf665349a3be
2750,687671b5ebd2bf665349b0ef,electroplating processes,mechanics and metal trades,687671b3ebd2bf665349a433
2751,687671b5ebd2bf665349b0f0,execute analytical mathematical calculations,performing calculations,687671b3ebd2bf665349a622
2752,687671b5ebd2bf665349b0f1,maintain inventory of office supplies,maintaining operational records,687671b3ebd2bf665349a498
2753,687671b5ebd2bf665349b0f2,perform customers’ needs analysis,engaging with others to identify needs,687671b3ebd2bf665349a5e4
2754,687671b5ebd2bf665349b0f3,liaise with buyers to plan products for the store,collaborating and liaising,687671b3ebd2bf665349a5a3
2755,687671b5ebd2bf665349b0f4,use ICT systems,accessing and analysing digital data,687671b3ebd2bf665349a50e
2756,687671b5ebd2bf665349b0f5,control textile process,"organising, planning and scheduling work and activities",687671b3ebd2bf665349a499
2757,687671b5ebd2bf665349b0f6,assess the animal’s rehabilitation requirements,diagnosing health conditions,687671b3ebd2bf665349a5ed
2758,687671b5ebd2bf665349b0f7,install oven,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
2759,687671b5ebd2bf665349b0f8,track price trends,analysing financial and economic data,687671b3ebd2bf665349a5ef
2760,687671b5ebd2bf665349b0f9,animal hunting,forestry,687671b3ebd2bf665349a44e
2761,687671b5ebd2bf665349b0fa,advise on tree issues,advising on environmental issues,687671b3ebd2bf665349a496
2762,687671b5ebd2bf665349b0fb,remove inadequate workpieces,sorting materials or products,687671b3ebd2bf665349a50b
2763,687671b5ebd2bf665349b0fc,micro mobility devices,transport services,687671b3ebd2bf665349a483
2764,687671b5ebd2bf665349b0fd,operate biological filtration,"operating petroleum, chemical or water processing systems or equipment",687671b3ebd2bf665349a5e3
2765,687671b5ebd2bf665349b0fe,characteristics of wheel rail interface,transport services,687671b3ebd2bf665349a484
2766,687671b5ebd2bf665349b0ff,understand the emotional dimension of a performance,creating artistic designs or performances,687671b3ebd2bf665349a59f
2767,687671b5ebd2bf665349b100,apply footwear bottoms pre-assembling techniques,preparing industrial materials for processing or use,687671b3ebd2bf665349a55b
2768,687671b5ebd2bf665349b101,hazards associated with loading dangerous goods,transport services,687671b3ebd2bf665349a484
2769,687671b5ebd2bf665349b102,conduct surveying activities for construction purposes,assessing land or real estate,687671b3ebd2bf665349a4fa
2770,687671b5ebd2bf665349b103,translate spoken language consecutively,translating and interpreting,687671b3ebd2bf665349a532
2771,687671b5ebd2bf665349b104,develop hazardous waste management strategies,developing objectives and strategies,687671b3ebd2bf665349a53e
2772,687671b5ebd2bf665349b105,oversee arrival and departure of ships into port,managing transport and logistics activities,687671b3ebd2bf665349a5ea
2773,687671b5ebd2bf665349b106,repair vehicle's electrical equipment,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
2774,687671b5ebd2bf665349b107,use color matching techniques,creating artistic designs or performances,687671b3ebd2bf665349a59f
2775,687671b5ebd2bf665349b108,set up multimedia equipment,operating audio-visual equipment,687671b3ebd2bf665349a579
2776,687671b5ebd2bf665349b109,pose nude,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
2777,687671b5ebd2bf665349b10a,change soap filter,installing wooden and metal components,687671b3ebd2bf665349a53b
2778,687671b5ebd2bf665349b10b,procurement of ICT network equipment,database and network design and administration,687671b3ebd2bf665349a425
2779,687671b5ebd2bf665349b10c,interview techniques,journalism and reporting,687671b2ebd2bf665349a3ec
2780,687671b5ebd2bf665349b10d,operate airport control tower,operating communications equipment,687671b3ebd2bf665349a4a0
2781,687671b5ebd2bf665349b10e,develop organisational policies,developing operational policies and procedures,687671b3ebd2bf665349a5c6
2782,687671b5ebd2bf665349b10f,compile drinks price lists,determining values of goods or services,687671b3ebd2bf665349a620
2783,687671b5ebd2bf665349b110,test visual acuity,providing health care or medical treatments,687671b3ebd2bf665349a49e
2784,687671b5ebd2bf665349b111,use traditional illustration techniques,creating artistic designs or performances,687671b3ebd2bf665349a59f
2785,687671b5ebd2bf665349b112,operate board slotting machine,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
2786,687671b5ebd2bf665349b113,maintain furniture machinery,maintaining mechanical machinery,687671b3ebd2bf665349a59c
2787,687671b5ebd2bf665349b114,present evidence,presenting information in legal proceedings,687671b3ebd2bf665349a5a2
2788,687671b5ebd2bf665349b115,establish collaborative relations,developing professional relationships or networks,687671b3ebd2bf665349a571
2789,687671b5ebd2bf665349b116,operate construction scraper,operating earthmoving equipment,687671b3ebd2bf665349a4bd
2790,687671b5ebd2bf665349b117,documentation types,"library, information and archival studies",687671b2ebd2bf665349a3ed
2791,687671b5ebd2bf665349b118,remove film negatives from processing machine,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
2792,687671b5ebd2bf665349b119,record test data,maintaining operational records,687671b3ebd2bf665349a498
2793,687671b5ebd2bf665349b11a,types of trams,transport services,687671b3ebd2bf665349a484
2794,687671b5ebd2bf665349b11b,check the potential of second-hand merchandise,selling products or services,687671b3ebd2bf665349a5fc
2795,687671b5ebd2bf665349b11c,manage second level engines,installing wooden and metal components,687671b3ebd2bf665349a53b
2796,687671b5ebd2bf665349b11d,remove dust,cleaning interior and exterior of buildings,687671b3ebd2bf665349a5e8
2797,687671b5ebd2bf665349b11e,coordinate cargo handling,managing transport and logistics activities,687671b3ebd2bf665349a5ea
2798,687671b5ebd2bf665349b11f,install sill pan,installing wooden and metal components,687671b3ebd2bf665349a53b
2799,687671b5ebd2bf665349b120,machine translation,software and applications development and analysis,687671b3ebd2bf665349a426
2800,687671b5ebd2bf665349b121,operate insulating tube winding machinery,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
2801,687671b5ebd2bf665349b122,palaeoclimatology,earth sciences,687671b2ebd2bf665349a416
2802,687671b5ebd2bf665349b123,advise customers on using confectionary products,advising on products and services,687671b3ebd2bf665349a530
2803,687671b5ebd2bf665349b124,conduct continuing professional development workshops,training on health or medical topics,687671b3ebd2bf665349a615
2804,687671b5ebd2bf665349b125,communicate with construction crews,communicating with colleagues and clients,687671b3ebd2bf665349a591
2805,687671b5ebd2bf665349b126,process incident reports for prevention,reporting incidents and defects,687671b3ebd2bf665349a4c5
2806,687671b5ebd2bf665349b127,handle kitchen equipment,preparing food and drinks,687671b3ebd2bf665349a570
2807,687671b5ebd2bf665349b128,quote prices,providing information to the public and clients,687671b3ebd2bf665349a5e6
2808,687671b5ebd2bf665349b129,test mine equipment,monitoring quality of products,687671b3ebd2bf665349a4a2
2809,687671b5ebd2bf665349b12a,fish identification and classification,biology,687671b2ebd2bf665349a40b
2810,687671b5ebd2bf665349b12b,determine eye disease progression,diagnosing health conditions,687671b3ebd2bf665349a5ed
2811,687671b5ebd2bf665349b12c,induce spawning of cultured aquaculture species,tending and breeding aquatic animals,687671b3ebd2bf665349a605
2812,687671b5ebd2bf665349b12d,carry out calculations in hospitality,performing calculations,687671b3ebd2bf665349a622
2813,687671b5ebd2bf665349b12e,signs of animal illness,veterinary,687671b3ebd2bf665349a452
2814,687671b5ebd2bf665349b12f,take orders for special publications,selling products or services,687671b3ebd2bf665349a5fc
2815,687671b5ebd2bf665349b130,customise project methodologies,planning production processes,687671b3ebd2bf665349a60a
2816,687671b5ebd2bf665349b131,bond rubber plies,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
2817,687671b5ebd2bf665349b132,communicate on merchandise visual display,communicating with colleagues and clients,687671b3ebd2bf665349a591
2818,687671b5ebd2bf665349b133,demonstrate technical expertise of your dance style,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
2819,687671b5ebd2bf665349b134,advise customers on smart homes technology,advising on products and services,687671b3ebd2bf665349a530
2820,687671b5ebd2bf665349b135,ensure functionality of airport lighting systems,"maintaining electrical, electronic and precision equipment",687671b3ebd2bf665349a611
2821,687671b5ebd2bf665349b136,triage clients for physiotherapy,"prescribing and ordering medical tests, treatments or devices",687671b3ebd2bf665349a5b3
2822,687671b5ebd2bf665349b137,analyse processes influencing health care delivery,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
2823,687671b5ebd2bf665349b138,estimate repair priority,estimating resource needs,687671b3ebd2bf665349a5b5
2824,687671b5ebd2bf665349b139,work independently in service of a food production process,,
2825,687671b5ebd2bf665349b13a,report on fuel distribution incidents,reporting incidents and defects,687671b3ebd2bf665349a4c5
2826,687671b5ebd2bf665349b13b,coordinate oil well operations,directing operational activities,687671b3ebd2bf665349a56b
2827,687671b5ebd2bf665349b13c,use polygonal modelling,using computer aided design and drawing tools,687671b3ebd2bf665349a5a6
2828,687671b5ebd2bf665349b13d,transpose music,composing music,687671b3ebd2bf665349a5df
2829,687671b5ebd2bf665349b13e,develop policies on religion-related matters,developing policies and legislation,687671b3ebd2bf665349a57c
2830,687671b5ebd2bf665349b13f,legislation procedure,law,687671b2ebd2bf665349a401
2831,687671b5ebd2bf665349b140,manage treatment for HIV affected patients,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
2832,687671b5ebd2bf665349b141,communicate about youth's well-being,engaging with others to identify needs,687671b3ebd2bf665349a5e4
2833,687671b5ebd2bf665349b142,manipulate sails on vessels,operating watercraft,687671b3ebd2bf665349a4ec
2834,687671b5ebd2bf665349b143,troubleshoot,developing solutions,687671b3ebd2bf665349a5a1
2835,687671b5ebd2bf665349b144,apply health psychological measures,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
2836,687671b5ebd2bf665349b145,foster relationships with various types of carrier,developing professional relationships or networks,687671b3ebd2bf665349a571
2837,687671b5ebd2bf665349b146,scaffolding components,building and civil engineering,687671b3ebd2bf665349a440
2838,687671b5ebd2bf665349b147,optimise financial performance,managing budgets or finances,687671b3ebd2bf665349a4bc
2839,687671b5ebd2bf665349b148,document seismic research,documenting and recording information,687671b3ebd2bf665349a4ab
2840,687671b5ebd2bf665349b149,create rough cut,cutting materials and drilling holes,687671b3ebd2bf665349a543
2841,687671b5ebd2bf665349b14a,design props,designing systems and products,687671b3ebd2bf665349a56d
2842,687671b5ebd2bf665349b14b,observe student's progress,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
2843,687671b5ebd2bf665349b14c,maintain photovoltaic systems,"maintaining electrical, electronic and precision equipment",687671b3ebd2bf665349a611
2844,687671b5ebd2bf665349b14d,advise customers on the preparation of beverages,advising and consulting,687671b3ebd2bf665349a4ac
2845,687671b5ebd2bf665349b14e,research taxation procedures,conducting academic or market research,687671b3ebd2bf665349a557
2846,687671b5ebd2bf665349b14f,manipulate metal,transforming and blending materials,687671b3ebd2bf665349a5c1
2847,687671b5ebd2bf665349b150,carry out research on ground systems,conducting academic or market research,687671b3ebd2bf665349a557
2848,687671b5ebd2bf665349b151,Arabic,languages,687671b3ebd2bf665349a501
2849,687671b5ebd2bf665349b152,manage well interaction,directing operational activities,687671b3ebd2bf665349a56b
2850,687671b5ebd2bf665349b153,perform religious ceremonies,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
2851,687671b5ebd2bf665349b154,ship hull engineering,"motor vehicles, ships and aircraft",687671b3ebd2bf665349a434
2852,687671b5ebd2bf665349b155,journalism,journalism and reporting,687671b2ebd2bf665349a3ec
2853,687671b5ebd2bf665349b156,security requirements of goods transported via pipelines,transport services,687671b3ebd2bf665349a484
2854,687671b5ebd2bf665349b157,clean oil processing units,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
2855,687671b5ebd2bf665349b158,escort students on a field trip,accompanying and welcoming people,687671b3ebd2bf665349a48c
2856,687671b5ebd2bf665349b159,manage staff,supervising a team or group,687671b3ebd2bf665349a59d
2857,687671b5ebd2bf665349b15a,supervise music groups,supervising a team or group,687671b3ebd2bf665349a59d
2858,687671b5ebd2bf665349b15b,physiology of balance,medicine,687671b3ebd2bf665349a45d
2859,687671b5ebd2bf665349b15c,protect personal data and privacy,protecting privacy and personal data,687671b3ebd2bf665349a4d7
2860,687671b5ebd2bf665349b15d,train air force crew,training on operational procedures,687671b3ebd2bf665349a539
2861,687671b5ebd2bf665349b15e,output electronic files,entering and transforming information,687671b3ebd2bf665349a58c
2862,687671b5ebd2bf665349b15f,health care occupation-specific ethics,,
2863,687671b5ebd2bf665349b160,install safety devices,complying with health and safety procedures,687671b3ebd2bf665349a525
2864,687671b5ebd2bf665349b161,Iterative development,software and applications development and analysis,687671b3ebd2bf665349a426
2865,687671b5ebd2bf665349b162,feed mirror machine,"moving or lifting materials, equipment, or supplies",687671b3ebd2bf665349a60d
2866,687671b5ebd2bf665349b163,repair aircraft's body,repairing and installing mechanical equipment,687671b3ebd2bf665349a4a3
2867,687671b5ebd2bf665349b164,advise on fertiliser and herbicide,advising on products and services,687671b3ebd2bf665349a530
2868,687671b5ebd2bf665349b165,maintain hydraulic press,maintaining mechanical machinery,687671b3ebd2bf665349a59c
2869,687671b5ebd2bf665349b166,evaluate social work program's impact,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
2870,687671b5ebd2bf665349b167,perform welding inspection,monitoring quality of products,687671b3ebd2bf665349a4a2
2871,687671b5ebd2bf665349b168,monitor well safety,complying with health and safety procedures,687671b3ebd2bf665349a525
2872,687671b5ebd2bf665349b169,understand written Catalan,,
2873,687671b5ebd2bf665349b16a,inspect compliance with hazardous waste regulations,monitoring safety or security,687671b3ebd2bf665349a4a7
2874,687671b5ebd2bf665349b16b,process data from railway control rooms,"evaluating systems, programmes, equipment and products",687671b3ebd2bf665349a61c
2875,687671b5ebd2bf665349b16c,plants contribution to indoor climate and health conditions,architecture and town planning,687671b3ebd2bf665349a43f
2876,687671b5ebd2bf665349b16d,environmental legislation in agriculture and forestry,law,687671b2ebd2bf665349a401
2877,687671b5ebd2bf665349b16e,business law,law,687671b2ebd2bf665349a401
2878,687671b5ebd2bf665349b16f,receive kitchen supplies,allocating and controlling physical resources,687671b3ebd2bf665349a623
2879,687671b5ebd2bf665349b170,handle tour contract details,,
2880,687671b5ebd2bf665349b171,spot metal imperfections,monitoring quality of products,687671b3ebd2bf665349a4a2
2881,687671b5ebd2bf665349b172,redistribute wagered money,conducting gaming activities,687671b3ebd2bf665349a507
2882,687671b5ebd2bf665349b173,record healthcare users' progress related to treatment,maintaining or preparing medical documentation,687671b3ebd2bf665349a5c3
2883,687671b5ebd2bf665349b174,air traffic management,management and administration,687671b2ebd2bf665349a3fa
2884,687671b5ebd2bf665349b175,pharmaceutical drug development,pharmacy,687671b3ebd2bf665349a461
2885,687671b5ebd2bf665349b176,apply extensive study of wine types,conducting academic or market research,687671b3ebd2bf665349a557
2886,687671b5ebd2bf665349b177,sommelier activities,food processing,687671b3ebd2bf665349a438
2887,687671b5ebd2bf665349b178,apply different roasting methods,fabricating food and related products,687671b3ebd2bf665349a61b
2888,687671b5ebd2bf665349b179,improve timber stands,"planting, pruning and harvesting trees, crops and other plants",687671b3ebd2bf665349a56e
2889,687671b5ebd2bf665349b17a,design harmonious architecture,designing structures or facilities,687671b3ebd2bf665349a5a7
2890,687671b5ebd2bf665349b17b,check implementation security plan,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
2891,687671b5ebd2bf665349b17c,monitor mixing in a live situation,operating audio-visual equipment,687671b3ebd2bf665349a579
2892,687671b5ebd2bf665349b17d,neuroanatomy,medicine,687671b3ebd2bf665349a45d
2893,687671b5ebd2bf665349b17e,neuroanatomy of animals,biology,687671b2ebd2bf665349a40b
2894,687671b5ebd2bf665349b17f,check processing parameters,monitoring operational activities,687671b3ebd2bf665349a4b4
2895,687671b5ebd2bf665349b180,keep up to date on professional dance practice,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
2896,687671b5ebd2bf665349b181,process booking,entering and transforming information,687671b3ebd2bf665349a58c
2897,687671b5ebd2bf665349b182,maintain musical instruments,fabricating precision instruments or jewellery,687671b3ebd2bf665349a4d4
2898,687671b5ebd2bf665349b183,build devices into props,assembling and fabricating products,687671b3ebd2bf665349a562
2899,687671b5ebd2bf665349b184,perform body wrapping,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
2900,687671b5ebd2bf665349b185,tend spark erosion machine,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
2901,687671b5ebd2bf665349b186,provide assistance to airport users,,
2902,687671b5ebd2bf665349b187,monitor forest health,monitoring environmental conditions,687671b3ebd2bf665349a5e5
2903,687671b5ebd2bf665349b188,understand spoken Dutch,,
2904,687671b5ebd2bf665349b189,International Maritime Organisation conventions,law,687671b2ebd2bf665349a401
2905,687671b5ebd2bf665349b18a,visual presentation techniques,audio-visual techniques and media production,687671b2ebd2bf665349a3ca
2906,687671b5ebd2bf665349b18b,carry out equine dental procedures,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
2907,687671b5ebd2bf665349b18c,hang chain hoists,installing and assembling rigging equipment,687671b3ebd2bf665349a57b
2908,687671b5ebd2bf665349b18d,draw up lighting plan,designing electrical or electronic systems or equipment,687671b3ebd2bf665349a4f4
2909,687671b5ebd2bf665349b18e,refurbish facilities,creating visual displays and decorations,687671b3ebd2bf665349a594
2910,687671b5ebd2bf665349b18f,pay-per-click,marketing and advertising,687671b2ebd2bf665349a3fb
2911,687671b5ebd2bf665349b190,ICT hardware specifications,computer use,687671b2ebd2bf665349a424
2912,687671b5ebd2bf665349b191,manage library users queries,managing information,687671b3ebd2bf665349a4e2
2913,687671b5ebd2bf665349b192,evaluation methodologies in paramedic practice,nursing and midwifery,687671b3ebd2bf665349a45e
2914,687671b5ebd2bf665349b193,tend deinking tank,operating wood processing and papermaking machinery,687671b3ebd2bf665349a497
2915,687671b5ebd2bf665349b194,supervise unloading of cargo,managing transport and logistics activities,687671b3ebd2bf665349a5ea
2916,687671b5ebd2bf665349b195,report on possible equipment hazards,reporting incidents and defects,687671b3ebd2bf665349a4c5
2917,687671b5ebd2bf665349b196,investigate forgery cases,carrying out forensic and police investigations,687671b3ebd2bf665349a5c8
2918,687671b5ebd2bf665349b197,test power electronics,testing electrical and mechanical systems or equipment,687671b3ebd2bf665349a626
2919,687671b5ebd2bf665349b198,woodturning,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
2920,687671b5ebd2bf665349b199,maintain hatchery equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
2921,687671b5ebd2bf665349b19a,pharmacy law,law,687671b2ebd2bf665349a401
2922,687671b5ebd2bf665349b19b,assess the quality of sport competitions,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
2923,687671b5ebd2bf665349b19c,advise on market strategies,advising on business or operational matters,687671b3ebd2bf665349a5a5
2924,687671b5ebd2bf665349b19d,transfer wax,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
2925,687671b5ebd2bf665349b19e,farrier industry,mechanics and metal trades,687671b3ebd2bf665349a433
2926,687671b5ebd2bf665349b19f,prepare raw materials,preparing industrial materials for processing or use,687671b3ebd2bf665349a55b
2927,687671b5ebd2bf665349b1a0,fasten wood reinforcing strips to vessel components,installing wooden and metal components,687671b3ebd2bf665349a53b
2928,687671b5ebd2bf665349b1a1,prepare notices to airmen for airport terminal services,presenting research or technical information,687671b3ebd2bf665349a57d
2929,687671b5ebd2bf665349b1a2,interview bank loanees,interviewing,687671b3ebd2bf665349a49a
2930,687671b5ebd2bf665349b1a3,sculpt chocolate,creating artistic designs or performances,687671b3ebd2bf665349a59f
