informal work in eng,SECTOR,SUBSECTOR
"Biological Science Teacher, Postsecondary",Education,other
Biological Scientist,Service,Research and experimental development activities in agriculture and animal husbandry
Soil and Water Conservation Specialist,agriculture,Agriculture
Biological Technician,Service,Research and experimental development activities in agriculture and animal husbandry
Biological Testing Specialist,Service,Laboratory test
Biologist,Service,Research and experimental development activities in agriculture and animal husbandry
Biology Laboratory Technician,Service,Laboratory test
Biomass Plant Technician,Economic Infrastructure,Energy
Biomass Power Plant Manager,Economic Infrastructure,Energy
Biomedical Engineer,Health,Health
Biomedical Equipment Technician,Health,Health
Biomedical Science Teacher,Education,other
Biomedical Technician,Health,Health
Biosafety Specialist,Service,Occupational Safety and Health Care Consulting Service
Biostatistician,Service,Research and experimental development activities in agriculture and animal husbandry
Biotechnologist,Service,Research and experimental development activities in agriculture and animal husbandry
Biotechnology Engineer,Service,Research and experimental development activities in agriculture and animal husbandry
Bistro Supervisor,Tourism and art,"Resturant,Coffee shop"
Blasting Technician,Mining and Quarrying,Mining works
Blockchain Researcher,ICT and digital work,Software Design Development and Implementation Works
Blockchain Developer,ICT and digital work,Software Design Development and Implementation Works
Blockchain Engineer,ICT and digital work,Software Design Development and Implementation Works
Plasterer,Construction,Building finishing works
Blood Donor Recruiter,Health,Health
Blow Molding Operator,Manufacturing,Manufacturing of plastic products
Machine Operator,Manufacturing,Another unmentioned factory works
Operator Mechanic,Manufacturing,Another unmentioned factory works
Engineer,Service,Engineering Consulting Service
Board Secretary,Service,Accounting audit and adminstrative works
Bodyguard,Service,Security Service
Boiler Operator,Manufacturing,Another unmentioned factory works
Boiler Technician,Manufacturing,Another unmentioned factory works
Boilermaker,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
Warehouse Supervisor,"Logistics, transportation and communication",Stroage and warehousing service
Reservation Agent,Tourism and art,Travel Agent and Related Services
Bookbinder,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Illustrator,Service,Advertising
Publisher,Manufacturing,News paper and magazine publisher
Bookstore Manager,Business,Retail trade in specialized stores
Meeting Coordinator,Service,Special event coordination
Bookkeeping Clerk,Service,Accounting audit and adminstrative works
Sales Clerk,Business,Retail trade in specialized stores
Heavy Equipment Operator,Construction,Construction land preparation
Border Control Officer,Service,Other services
Lawyer,Service,Other services
Bot Developer,ICT and digital work,Software Design Development and Implementation Works
Bottled Water Plant Manager,Manufacturing,"Soft drinks, minerals and cannedwater production"
Bottled Water Technical Manager,Manufacturing,"Soft drinks, minerals and cannedwater production"
Boutique Sales Associate,Business,Textile Clothing Shoes & Leather Products Retail
Hair Braider,Service,Hair and beauty care
Document Archivist,Service,Library and Archives Services
Credit Officer,Service,Finance and Administration Services
Foreign Trade Officer,Trade & Business,Business
Library Manager,Service,Library and Archives Services
Branch Manager,Business,Wholesale business in specialized stores
Branch Office Coordinator,Service,Accounting audit and adminstrative works
Operations Coordinator,Service,Logistics Supply and Support Services (outside of other business sectors)
Branch Coordinator,Service,Accounting audit and adminstrative works
Technical Service Director,Service,Engineering Consulting Service
Operations Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Operations Supervisor,Service,Logistics Supply and Support Services (outside of other business sectors)
Relationship Manager,Service,Finance and Administration Services
Sales and Customer Service Officer,Business,Retail trade in specialized stores
Digital Marketing Officer,Service,Advertising
Brand Promotion Officer,Service,Advertising
Brand Identity Designer,Service,Advertising
Brand Manager,Service,Advertising
Brand Strategist,Service,Advertising
Branding and Advertising Officer,Service,Advertising
Branding Consultant,Service,Advertising
Brand Promotion Manager,Service,Advertising
Talent Attraction Specialist,Service,Employment agencies and recruitment agencies
Brand Designer,Service,Advertising
Brand Development Officer,Service,Advertising
Branding Specialist,Service,Advertising
Branding Officer,Service,Advertising
Waiter,Tourism and art,"Resturant,Coffee shop"
Project Officer,Service,Other services
Cook,Tourism and art,"Resturant,Coffee shop"
Host,Tourism and art,"Resturant,Coffee shop"
Animal Technician,agriculture,Animal Husbandry Development
Brewing Operator,Manufacturing,Beer and other malt beverages manufacturing
Brickmason and Blockmason,Construction,Building Construction Contractor
Bridge and Lock Tender,"Logistics, transportation and communication",Other supportive transportation services
Broadcast Announcer and Radio Disc Jockey,Service,Commercial Broadcast Service
Broadcast Technician,Service,Commercial Broadcast Service
Real Estate Broker,Service,Estimating the cost of housing sales and collecting rental income
Brokerage Clerk,Service,Finance and Administration Services
Brownfield Redevelopment Specialist and Site Manager,Service,Other services
Data Entry Clerk,Service,Accounting audit and adminstrative works
Public Health Officer,Health,Health
Compensation Analyst,Service,Finance and Administration Services
Budget Analyst,Service,Finance and Administration Services
Finance Executive,Service,Finance and Administration Services
Budget Manager,Business,Finance and Administration Services
Budget Officer,Business,Finance and Administration Services
Budget Coordinator,Business,Finance and Administration Services
Facility Executive,Service,Other services
Construction Monitor,Construction,Building Construction Contractor
Legal Framework Specialist,Service,Other services
Building Cleaning Worker,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Building Code Specialist,Construction,Building Construction Contractor
Construction Manager,Construction,Building Construction Contractor
Building Contractor,Construction,Building Construction Contractor
Building Engineer,Construction,Building Construction Contractor
Fire System Technician,Construction,Another unmentioned building Installation Work Contractor
Construction Foreman,Construction,Building Construction Contractor
Building Manager,Service,Other services
Alternative Dispute Resolution Specialist,Service,Other services
Architectural Design Expert,Construction,Architecture Construction and Related Consultations
Construction Inspector,Construction,Building Construction Contractor
Cost Estimator,Construction,Estimating the cost of housing sales and collecting rental income
Design Control Specialist,Manufacturing,Another unmentioned factory works
Electrical Design Engineer,Construction,Electrical Works Contractor
Construction Project Manager,Construction,Building Construction Contractor
Mechanical Design Engineer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Sanitary Design Engineer,Construction,Sanitary Contractor and Expert
Structural Design Engineer,Construction,Building Construction Contractor
Structural Engineer,Construction,Building Construction Contractor
Restaurant Manager,Tourism and art,"Resturant,Coffee shop"
Bus and Truck Mechanic,Service,Motor vehicle repair work
Bus Driver,"Logistics, transportation and communication",Other scheduled land transport services
School Bus Driver,"Logistics, transportation and communication",Other scheduled land transport services
Transit Bus Driver,"Logistics, transportation and communication",Other scheduled land transport services
Ticket Officer,"Logistics, transportation and communication",Other supportive transportation services
Sales Executive,Business,Wholesale business in specialized stores
Business Administrator,Business,Finance and Administration Services
Business Administration Lecturer,Education,other
Business Analyst,Business,Finance and Administration Services
Business Communication Instructor,Education,other
Business Continuity Engineer,Business,Finance and Administration Services
Business Continuity Planner,Business,Finance and Administration Services
Business Continuity Specialist,Business,Finance and Administration Services
Desk Agent,Service,Other services
Business Developer,Business,Business Promotion Service
Business Development Specialist,Business,Business Promotion Service
Business Development Advisor,Business,Business Promotion Service
Business Development Analyst,Business,Business Promotion Service
Business Development Manager,Business,Business Promotion Service
Business Development Project Manager,Business,Business Promotion Service
Business Development Representative,Business,Business Promotion Service
Business Development Research Analyst,Business,Business Promotion Service
Business Writer,Service,Other services
Business Intelligence Analyst,ICT and digital work,Database organization and data processing
Business Intelligence Specialist,ICT and digital work,Database organization and data processing
Business Intelligence Developer,ICT and digital work,Software Design Development and Implementation Works
Business Intelligence Officer,ICT and digital work,Database organization and data processing
Operations Officer,Business,Finance and Administration Services
Business Operations Specialist,Business,Finance and Administration Services
Pitch Deck Presenter,Business,Business Promotion Service
Business Process Outsourcing Specialist,Business,Finance and Administration Services
Program Manager,Business,Finance and Administration Services
Business Reporter,Service,Other services
Business Trainer,Education,other
Business Teacher,Education,other
Secondary School Business Teacher,Education,other
Butcher,Business,Food Products Retail
Purchasing Agent,Business,Wholesale business in specialized stores
C Programmer,ICT and digital work,Software Design Development and Implementation Works
Secretariat Officer,Service,Other services
Cabinetmaker,Manufacturing,Manufacture of home and office furniture
Cable Installer,Construction,Installation and maintenance of telecommunication cable installation
CAD Designer,Manufacturing,Another unmentioned factory works
CNC Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
CNC Machine Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
CAD Specialist,Manufacturing,Another unmentioned factory works
Cadastral Surveyor,Economic Infrastructure,Surveying & Drafting
Network Security Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Dietary Manager,Health,Health
Waitress,Tourism and art,"Resturant,Coffee shop"
Percussionist,Tourism and art,Music Band
Calibration Technician,Service,Laboratory calibration
Call Center Representative,Service,Other services
Call Center Attendant,Service,Other services
Call Center Manager,Service,Other services
Call Center Operations Manager,Service,Other services
Call Center Operator,Service,Other services
Call Center Specialist,Service,Other services
Call Center Supervisor,Service,Other services
Telemarketer,Service,Other services
Camera and Photographic Equipment Repairer,Service,Other unmentioned repair jobs
Camera Operator,Tourism and art,Motion Picture Works
Social Media Officer,Service,Advertising
News Producer,Service,Media programming
Camp Administrator,Service,Other services
Security Officer,Service,Security Service
Facility Manager,Service,Other services
Team Leader,Business,Finance and Administration Services
Police Officer,Service,Security Service
Chinese Chef,Tourism and art,"Resturant,Coffee shop"
Partnership Coordinator,Business,Business Promotion Service
Partnership Officer,Business,Business Promotion Service
Canteen Attendant,Tourism and art,"Resturant,Coffee shop"
Communication Officer,Service,Other services
Capacity Building Officer,Service,Other services
Lease Registration Specialist,Service,Other services
Logistics Manager,"Logistics, transportation and communication",Other supportive transportation services
Ship Captain,"Logistics, transportation and communication",Domestic water transport
Assembly Supervisor,Manufacturing,Another unmentioned factory works
Car Attendant,Service,Other services
Driving Instructor,Service,Other services
Car Sales Executive,Business,Vehicle spare parts and accessories retail trade
Automotive Technician,Service,Motor vehicle repair work
Car Wash Attendant,Service,Vehicle washing and grease service
Carbon Management Specialist,Service,Other services
Carbon Finance Specialist,Service,Other services
Card Services Officer,Service,Other services
Cardiac Surgeon,Health,Health
Cardiologist,Health,Health
Cardiovascular Nurse,Health,Health
Perfusionist,Health,Health
Cardiovascular Technologist,Health,Health
Support Officer,Service,Other services
Technical Education Teacher,Education,other
Career Development Specialist,Service,Other services
Proposal Writer,Service,Other services
Freight Agent,"Logistics, transportation and communication",Freight Transportation
Game Attendant,Service,Other services
Carpenter,Construction,"Carpenter, builder, and other similar construction works"
Carpet Technician,Service,Other services
Carpet Cleaner,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Carpet Installer,Construction,Building finishing works
Carpet Supplier,Business,"Wholesale of home and office furniture, decorations and other home appliances"
Pool Player,Service,Sports Services
Factory Manager,Manufacturing,Another unmentioned factory works
Cartoonist,Tourism and art,Culture and Arts Education
Stone Carver,Manufacturing,Stone cutting and carving production
Legal Assistant,Service,Other services
Case Manager,Service,Case manager
Store Manager,Business,Retail trade in specialized stores
Monitoring Officer,Service,Other services
Information Management Officer,Service,Other services
Cash Collector,Service,Other services
Cash Handler,Service,Other services
Cash Management Officer,Service,Other services
Technical Advisor,Service,Other services
Casting Agent,Tourism and art,Filmmaking and related work
Location Manager,Tourism and art,Filmmaking and related work
Cataloger,Service,Library and Archives Services
Cataloging and Classification Worker,Service,Library and Archives Services
Cataract Surgeon,Health,Health
Category Manager,Business,Retail trade in specialized stores
Caterer,Tourism and art,"Resturant,Coffee shop"
Event Manager,Service,Special event coordination
Project Coordinator,Service,Other services
Coordination Officer,Service,Other services
Data Center Manager,ICT and digital work,Data Center Hosting Services
CCR Operator,Service,Other services
CCTV Installer,Construction,Electrical Works Contractor
CCTV Operator,Service,Security Service
CCTV Technician,Service,Security Service
CCTV Installation Technician,Construction,Electrical Works Contractor
Postdoctoral Researcher,Service,Research and experimental development activities in agriculture and animal husbandry
Cement Mason and Concrete Finisher,Construction,Building Construction Contractor
Survey Methodologist,Service,Other services
Center Administrator,Service,Other services
Center Coordinator,Service,Other services
Center Manager,Service,Other services
Archive Officer,Service,Library and Archives Services
Control Room Operator,Service,Other services
Data Processor,ICT and digital work,Database organization and data processing
Nutrition Advisor,Health,Health
Laboratory Advisor,Service,Laboratory test
Warehouse Manager,"Logistics, transportation and communication",Stroage and warehousing service
Triage Nurse,Health,Health
Supply Chain Advisor,"Logistics, transportation and communication",Other supportive transportation services
IT Consultant,ICT and digital work,Information Communication Technology Training Service
Chief Executive Officer,Service,Other services
Quality Evaluator,Service,Quality Management Consulting Service
Certification Coordinator,Service,Professional certification
Certification Officer,Service,Professional certification
Content Provider and Translator,Service,Other services
High School Teacher,Education,other
Nutritionist,Health,Health
Community Engagement Officer,Service,Social work services
Chief Financial Officer,Service,Finance and Administration Services
Excavator Operator,Construction,Construction land preparation
Professor of Landscape Architecture,Education,other
Change Management Specialist,Service,Other services
Change Management Coordinator,Service,Other services
Change Management Officer,Service,Other services
Channel Administrator,Service,Other services
Channel Operator,Service,Other services
Channel Sales Officer,Business,Retail trade in specialized stores
Channel Sales Representative,Business,Retail trade in specialized stores
Channel Specialist,Service,Other services
Technical Support Manager,Service,Other services
Character Designer,Tourism and art,Culture and Arts Education
Quality Management Auditor,Service,Quality Management Consulting Service
Data Visualization Specialist,ICT and digital work,Database organization and data processing
Chef,Tourism and art,"Resturant,Coffee shop"
Head Cook,Tourism and art,"Resturant,Coffee shop"
Chemical Consultant,Service,Consulting around natural science
Chemical Engineer,Manufacturing,Chemical Manufacturing
Chemical Equipment Operator,Manufacturing,Chemical Manufacturing
Forensic Analyst,Service,Laboratory test
Chemical Impact Assessment Specialist,Service,Consulting around natural science
Chemical Laboratory Analyst,Service,Laboratory test
Regulatory Affairs Specialist,Service,Other services
Chemical Plant Operator,Manufacturing,Chemical Manufacturing
Chemical Preparer,Manufacturing,Chemical Manufacturing
Chemical Analyst,Service,Laboratory test
Laboratory Technician,Service,Laboratory test
Chemical Technician,Manufacturing,Chemical Manufacturing
Chemical Inspector,Service,Inspection
Chemical Licensing Officer,Service,Other services
Chemical Regulatory Specialist,Service,Other services
Chemist,Service,Laboratory test
Quality Control Chemist,Manufacturing,Chemical Manufacturing
Sales Chemist,Business,Wholesale of chemical and chemical products
Chemistry Analyst,Service,Laboratory test
Chemistry Laboratory Technician,Service,Laboratory test
Chemistry Researcher,Service,Research and experimental development work in biology and chemistry
Chemistry Teacher,Education,other
Postsecondary Chemistry Teacher,Education,other
Clearance Officer,Service,Other services
Chicken Farmer,agriculture,Breeding birds
Chief Advisor,Service,Other services
Chief Communications Officer,Service,Other services
Chief Compliance Officer,Service,Other services
Chief Corporate Officer,Service,Other services
Driller,Mining and Quarrying,Mining works
Chief Economist,Service,Research and Experimental Development Works on Economics and Development
Editor in Chief,Service,Publishing and book services
Chief Geologist,Mining and Quarrying,Mining works
Chief Information Technology Officer,ICT and digital work,Information Communication Technology Training Service
Internal Audit Manager,Service,Accounting audit and adminstrative works
Chief Librarian,Service,Library and Archives Services
Livestock Specialist,agriculture,Livestock development
Chief Manufacturing Officer,Manufacturing,Another unmentioned factory works
Chief Marketing Officer,Service,Advertising
Marketing and Branding Manager,Service,Advertising
Air Service Agreements Manager,"Logistics, transportation and communication",Other supportive transportation services
Chief of Party,Service,Other services
Agricultural Program Manager,agriculture,Agriculture
Internal Audit Officer,Service,Accounting audit and adminstrative works
Pharmaceutical Officer,Health,Health
Chief Operating Officer,Service,Other services
Chief Operations Manager,Service,Other services
Chief Operations Officer,Service,Other services
Chief Risk and Compliance Officer,Service,Other services
Chief Sales and Marketing Officer,Service,Advertising
Chief Security Officer,Service,Security Service
Chief Strategy and Growth Officer,Service,Other services
Chief Strategy Officer,Service,Other services
Chief Technical Officer,Service,Engineering Consulting Service
Chief Technology Officer,ICT and digital work,Information Communication Technology Training Service
Chief Transformation Officer,Service,Other services
Chief Transport and Logistics Officer,"Logistics, transportation and communication",Other supportive transportation services
Chief Warden,Service,Security Service
Child and Adolescent Nurse,Health,Health
Child and Adolescent Psychiatrist,Health,Health
Child Care Worker,Service,Social work services
Public Health Specialist,Health,Health
Child Protection Coordinator,Service,Social work services
Child Protection Officer,Service,Social work services
Child Protection Assistant,Service,Social work services
Child Protection Specialist,Service,Social work services
Child Protection in Emergencies Specialist,Service,Social work services
Child Protection Information Management Officer,Service,Social work services
Child Rights and Protection Executive,Service,Social work services
Child Rights Officer,Service,Social work services
Child Support Specialist,Service,Social work services
"Child, Family, and School Social Worker",Service,Social work services
Childcare Worker,Service,Social work services
Children and Youth Counselor,Service,Social work services
Face Paint Artist,Tourism and art,Culture and Arts Education
Hairdresser,Service,Hair and beauty care
Language Operator,Service,Other services
Chinese Language Teacher,Education,other
Chinese Teacher,Education,other
Chiropractor,Health,Health
Choreographer,Tourism and art,Culture and Arts Education
Clean Up Artist,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Cinema Host,Tourism and art,Motion Picture Works
Cinematographer,Tourism and art,Filmmaking and related work
Welder,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
Circuit Design Engineer,Manufacturing,Electrical equipment and utilities Manufacturing
Circus Artist,Tourism and art,Circus Group
Instructor,Education,other
Social Studies Teacher,Education,other
Citizenship Specialist,Service,Other services
City Planner,Service,Architecture Construction and Related Consultations
Civic Education Specialist,Education,other
Program Officer,Service,Other services
Civil Aviation Director,"Logistics, transportation and communication",Other supportive transportation services
Civil Engineering Technician,Construction,Building Construction Contractor
Civil Registration Specialist,Service,Other services
Information Organizer,Service,Other services
Treasury Officer,Service,Finance and Administration Services
Registration Officer,Service,Other services
Civil Design Engineer,Construction,Building Construction Contractor
Site Engineer,Construction,Building Construction Contractor
Claims Engineer,Service,Engineering Consulting Service
Contract Engineer,Construction,General Contractor (Except for the from Water works contractor
Claims Investigator,Service,Other services
Claims Officer,Service,Other services
Insurance Claims Officer,Service,Other services
Claims Clerk,Service,Other services
Claims Adjuster,Service,Other services
Claims and Recovery Officer,Service,Other services
Claims Manager,Service,Other services
Claims Specialist,Service,Other services
Health Claims Officer,Health,Health
Orchestra Conductor,Tourism and art,Music Band
Piano Teacher,Education,other
Cleaner,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Cleaning Supervisor,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Tile Setter,Construction,Building finishing works
Cleaner Production Consultant,Service,Consulting around natural science
Vehicle Cleaner,Service,Vehicle washing and grease service
Cleaning Equipment Operator,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Clearing Officer,Service,Other services
Settlement Officer,Service,Other services
Accounting Clerk,Service,Accounting and auditing Jobs
Client Service Clerk,Service,Other services
Consular Clerk,Service,Other services
Registry Clerk,Service,Other services
Clerk,Service,Other services
Client Administrator,Service,Other services
Client Communication Specialist,Service,Other services
Client Relationship Management Officer,Service,Other services
Client Service Officer,Service,Other services
Technical Manager,Service,Engineering Consulting Service
Climate Change Advisor,Service,Consulting around natural science
Environmental Analyst,Service,Consulting around natural science
Climate Change Mitigation Expert,Service,Consulting around natural science
Policy Analyst,Service,Research and Experimental Development Works on Economics and Development
Climatologist,Service,Research and experimental development activities in agriculture and animal husbandry
Clinic Director,Health,Health
Clinical Advisor,Health,Health
Psychologist,Health,Health
Nurse,Health,Health
Clinical Chemist,Health,Health
Clinical Chief Officer,Health,Health
Clinical Data Manager,Health,Health
Clinical Director,Health,Health
Clinical Laboratory Equipment Technician,Health,Health
Clinical Laboratory Technician,Health,Health
Clinical Mental Health and Psychosocial Officer,Health,Health
Clinical Midwife,Health,Health
Neuropsychologist,Health,Health
Clinical Nurse,Health,Health
Clinical Nurse Specialist,Health,Health
Clinical Nutritionist,Health,Health
Clinical Officer,Health,Health
Clinical Pharmacist,Health,Health
Clinical Psychologist,Health,Health
Clinical Research Coordinator,Health,Health
Clinical Service Advisor,Health,Health
Clinical Trial Specialist,Health,Health
Clinical Molecular Biologist,Health,Health
Fashion Product Seller,Business,Textile Clothing Shoes & Leather Products Retail
Fashion Design Teacher,Education,other
Clothing Designer,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing
Inventory Clerk,Service,Other services
Clothing Printer,Manufacturing,Electronic printing
Clothing Seller,Business,Textile Clothing Shoes & Leather Products Retail
Sewing Machine Operator,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing
Quality Control Inspector,Manufacturing,Another unmentioned factory works
Systems Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Cloud Operations Engineer,ICT and digital work,Data Center Hosting Services
DJ,Tourism and art,Music Band
Apiculture Development Officer,agriculture,Bee reading
Development Consultant,Service,Consulting service around social science
Enterprise Development Officer,Service,Business Promotion Service
Finance and Operations Officer,Service,Finance and Administration Services
Supervisor,Service,Other services
CNC Machinist,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
CNC Programmer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
CNC Technician,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Facilitator,Service,Other services
Laser Machine Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Coach,Service,Sports Services
Transportation Manager,"Logistics, transportation and communication",Road freight service
Coating Technician,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Painting Machine Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Trainer,Education,other
Coder and Content Creator,ICT and digital work,Software Design Development and Implementation Works
Coding Instructor,Education,other
Post-Harvest Specialist,agriculture,Agriculture
Coffee Collector,agriculture,Coffee cultivation
Coffee Cupper,agriculture,Coffee cultivation
Coffee Development Specialist,agriculture,Coffee cultivation
Export Documentation Officer,Service,Other services
Export Manager,Service,Other services
Coffee Grader,agriculture,Coffee cultivation
Quality Control Technician,Manufacturing,Another unmentioned factory works
Marketing Facilitator,Service,Business Promotion Service
Quality Inspector,Service,Inspection
Coffee Roaster,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Sample Keeper,Service,Other services
Sample Preparation Technician,Service,Laboratory test
Sampler,Service,Other services
Sorting and Coding Operator,Manufacturing,Another unmentioned factory works
Station Manager,"Logistics, transportation and communication",Other supportive transportation services
Market Analyst,Business,Wholesale business in specialized stores
Contract Manager,Service,Other services
Information Analyst,ICT and digital work,Database organization and data processing
Inspector,Service,Inspection
Market Information Officer,Business,Wholesale business in specialized stores
Quality Improvement Specialist,Service,Quality Management Consulting Service
Supply Chain Coordinator,"Logistics, transportation and communication",Other supportive transportation services
Auction Coordinator,Business,Wholesale business in specialized stores
Radio Host,Service,Commercial Broadcast Service
Coil Winder,Manufacturing,Electrical equipment and utilities Manufacturing
Vending Machine Repairer,Service,Other unmentioned repair jobs
Director,Service,Other services
Solutions Engineer,ICT and digital work,Software Design Development and Implementation Works
Mechanical Engineer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Valuator,Service,Estimating the cost of housing sales and collecting rental income
Collection Agent,Service,Finance and Administration Services
Collections Manager,Service,Finance and Administration Services
Collection Manager,Service,Finance and Administration Services
Collection Supervisor,Service,Finance and Administration Services
Labor Relations Specialist,Labor and Social Affairs,Labor
Academic Support Staff,Education,other
College Admissions Advisor,Education,other
Customer Service Representative,Service,Other services
College Admissions Manager,Education,other
Columnist,Service,Newspaper and magazine publisher
Comedian,Tourism and art,Culture and Arts Education
Comedy Performer,Tourism and art,Culture and Arts Education
Cosmetic Chemist,Manufacturing,Manufacturing of hygienic and cosmetic products
Command and Control Officer,Service,Other services
Commerce Specialist,Business,Wholesale business in specialized stores
Commercial Analyst,Business,Wholesale business in specialized stores
Commercial and Industrial Designer,Manufacturing,Another unmentioned factory works
Commercial Diver,Service,Other services
Commercial Officer,Business,Wholesale business in specialized stores
Commercial Pilot,"Logistics, transportation and communication",Other scheduled land transport services
Commissioning Officer,Service,Other services
Commodity Logistics Manager,"Logistics, transportation and communication",Other supportive transportation services
Commodity Accountant,Service,Accounting and auditing Jobs
Supply Supervisor,"Logistics, transportation and communication",Other supportive transportation services
Purchasing Officer,Business,Wholesale business in specialized stores
Reporting Officer,Service,Other services
Risk and Compliance Officer,Service,Finance and Administration Services
Sourcing Officer,Business,Wholesale business in specialized stores
Transfer Officer,Service,Finance and Administration Services
Essay Writer,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Communication and Documentation Officer,Service,Other services
Communication Advisor,Service,Other services
Event Coordinator,Service,Special event coordination
Complaint Handling Officer,Service,Other services
Communication Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Communications Equipment Technician,ICT and digital work,Repair of Telecommunication Terminal Equipment
Communication Specialist,Service,Other services
Network Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Systems Analyst,ICT and digital work,Software Design Development and Implementation Works
Communications Researcher,Service,Research and experimental development work in engineering and technology
Standards Specialist,Service,Quality Management Consulting Service
Quality Assurance Specialist,Service,Quality Management Consulting Service
Fund Manager,Service,Finance and Administration Services
Communications Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Engineering Director,Service,Engineering Consulting Service
Engineering Inspector,Service,Inspection
Operations Team Leader,Service,Other services
Communications Advisor,Service,Other services
Media Specialist,Service,Media programming
Market Research Analyst,Business,Wholesale business in specialized stores
Communications Equipment Operator,ICT and digital work,Repair of Telecommunication Terminal Equipment
Communications Manager,Service,Other services
Community Liaison,Service,Social work services
Community Service Specialist,Service,Social work services
Community Organizer,Service,Social work services
Agricultural Facilitator,agriculture,Agriculture
Community Development Officer,Service,Social work services
Community Development Specialist,Service,Social work services
Community Development Facilitator,Service,Social work services
Community Development Manager,Service,Social work services
Community Health Advisor,Health,Health
Community Engagement Facilitator,Service,Social work services
Community Fieldworker,Service,Social work services
Community Health Worker,Health,Health
Community Facilitator,Service,Social work services
Community Mobilization Officer,Service,Social work services
Community Mobilization Specialist,Service,Social work services
Community Mobilizer,Service,Social work services
Health Extension Officer,Health,Health
Primary Health Care Manager,Health,Health
Community Engagement Specialist,Service,Social work services
Forestry Extension Officer,agriculture,Forest development and related services
Community Service Attendant,Service,Social work services
Community Service Coordinator,Service,Social work services
Community Services Officer,Service,Social work services
Community Services Manager,Service,Social work services
Community Coordinator,Service,Social work services
Monitoring and Evaluation Specialist,Service,Other services
Mainstreaming Expert,Service,Other services
Disability Inclusion Program Coordinator,Service,Social work services
Community Rehabilitation Worker,Health,Health
Disability Services Supervisor,Service,Social work services
Compactor Operator,Manufacturing,Another unmentioned factory works
Manager,Business,Wholesale business in specialized stores
Messenger,Service,Other services
Company Secretary,Service,Finance and Administration Services
Comparative Anatomist,Health,Health
Anatomy Technician,Health,Health
Compensation and Benefits Officer,Service,Finance and Administration Services
Compensation and Benefits Manager,Service,Finance and Administration Services
Compensation and Benefits Specialist,Service,Finance and Administration Services
"Compensation, Benefits, and Job Analysis Specialist",Service,Finance and Administration Services
Licensing Specialist,Service,Professional certification
Assessment Technician,Service,Other services
News Video Editor,Service,Media programming
Complaint Handler,Service,Other services
Complaint and Monitoring Officer,Service,Other services
Compliance Auditor,Service,Accounting audit and adminstrative works
Compliance and Risk Manager,Service,Finance and Administration Services
Compliance Coordinator,Service,Finance and Administration Services
Compliance Manager,Service,Finance and Administration Services
Compliance Monitoring Specialist,Service,Finance and Administration Services
Compliance Specialist,Service,Finance and Administration Services
Compliance Intern,Service,Finance and Administration Services
Help Desk Technician,ICT and digital work,Information Communication Technology Training Service
Security Guard,Service,Security Service
Compressor Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Generator Operator,Manufacturing,Electrical equipment and utilities Manufacturing
Compressor Technician,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Computer Technician,ICT and digital work,Repair of Telecommunication Terminal Equipment
Computer and Information Research Scientist,ICT and digital work,General research and experimental development work
Computer Specialist,ICT and digital work,Software Design Development and Implementation Works
Computer and Information Systems Manager,ICT and digital work,Software Design Development and Implementation Works
Computer Engineer,ICT and digital work,Software Design Development and Implementation Works
Computer Hardware Engineer,ICT and digital work,Repair of Telecommunication Terminal Equipment
Computer Lab Assistant,ICT and digital work,Information Communication Technology Training Service
Computer Laboratory Technician,ICT and digital work,Information Communication Technology Training Service
